first_name,last_name,age,spending_score
Lisa,Wilson,21,67
Jennifer,Wilson,38,17
Joseph,Davis,63,97
Christopher,Thomas,27,34
Elizabeth,Wilson,39,30
Daniel,Smith,47,19
Margaret,Thomas,47,9
Michael,Moore,33,40
Robert,Miller,28,44
James,Anderson,39,95
Richard,White,46,59
Christopher,Taylor,42,91
Karen,Jackson,31,25
Richard,Thompson,31,71
Christopher,Gonzalez,19,53
Christopher,Rodriguez,30,48
Karen,White,20,71
Robert,White,47,84
Richard,Anderson,35,53
Patricia,Williams,53,49
Thomas,White,38,43
John,Smith,36,19
Thomas,Thomas,33,66
David,Davis,45,34
Christopher,Thompson,21,81
Nancy,Gonzalez,68,88
Daniel,Davis,32,73
Christopher,Taylor,18,54
Patricia,Perez,65,1
Mary,Thompson,64,92
Nancy,Wilson,33,55
Sarah,Lee,37,15
Karen,Lee,50,85
Linda,Miller,34,15
John,Anderson,22,23
William,Thomas,22,66
Nancy,Jackson,56,46
Jennifer,Garcia,30,9
Elizabeth,Thompson,61,66
Christopher,Smith,53,66
Elizabeth,Lopez,47,18
Richard,Moore,21,17
Thomas,Thomas,40,72
William,Lopez,38,98
Thomas,Martin,38,34
Margaret,Gonzalez,23,69
William,Davis,41,64
William,Perez,64,44
James,Smith,48,29
Mary,Lee,36,62
Sarah,Miller,55,92
James,Anderson,29,16
Elizabeth,Perez,31,78
Karen,Gonzalez,67,52
Linda,Gonzalez,29,2
Christopher,Rodriguez,32,61
David,White,36,4
Daniel,Anderson,45,52
Mary,Brown,57,41
Linda,Gonzalez,58,52
Lisa,Lopez,22,31
Linda,Jones,22,26
Thomas,Miller,23,27
Joseph,Davis,40,51
Thomas,Jones,20,98
Daniel,Rodriguez,54,95
Margaret,Wilson,50,48
Richard,Lopez,60,11
Charles,Brown,38,8
Robert,Martin,37,12
Susan,Davis,18,99
James,Taylor,56,45
Daniel,Davis,64,34
Robert,Lee,34,77
Linda,Smith,46,91
Richard,Martin,25,72
Linda,Johnson,43,47
Daniel,Brown,45,21
David,White,51,41
James,Lee,43,75
Richard,Smith,30,22
Charles,Miller,61,21
Margaret,Smith,54,28
John,Rodriguez,30,67
Margaret,Williams,55,71
Thomas,Lopez,42,14
Robert,Jackson,64,79
Nancy,Anderson,40,73
Christopher,Perez,39,52
Linda,Thomas,38,43
Jessica,Martinez,47,71
Patricia,Perez,28,76
David,Garcia,21,19
Nancy,Taylor,50,27
Joseph,Lee,64,18
Charles,Perez,29,13
Michael,White,26,1
Charles,Taylor,49,85
Charles,Lee,28,34
David,Jackson,54,13
Robert,Moore,41,51
Robert,Hernandez,24,87
Lisa,White,25,1
Linda,Miller,50,87
Elizabeth,Martinez,42,28
Jennifer,Miller,18,32
Joseph,Jones,20,72
Sarah,Lopez,57,55
Thomas,Thomas,45,26
Linda,Lee,60,14
Linda,Moore,50,88
William,Williams,63,93
Mary,Martin,18,68
Joseph,Anderson,55,63
Karen,Jones,44,82
John,Gonzalez,55,14
Thomas,Jackson,52,27
Patricia,Lopez,27,41
Patricia,Thompson,29,3
Jessica,Lee,27,94
William,Jones,51,59
William,Garcia,41,23
Daniel,Miller,45,18
Karen,Martinez,39,74
Elizabeth,Thomas,62,76
Christopher,Davis,33,41
Patricia,Rodriguez,30,8
Susan,Brown,53,32
Linda,Lee,53,81
Mary,Lee,60,41
Lisa,Davis,40,45
Richard,Miller,31,78
Christopher,Anderson,49,9
Sarah,Lee,20,90
Mary,Williams,44,48
David,Taylor,36,24
Elizabeth,Hernandez,39,87
Joseph,Rodriguez,18,95
Thomas,Jones,22,44
Linda,Martinez,66,58
Karen,Anderson,50,66
Daniel,Wilson,68,18
William,Brown,36,80
Linda,Lee,53,29
Jessica,Martin,68,75
Karen,Johnson,23,2
Lisa,Lopez,32,78
Nancy,Smith,53,68
Nancy,White,50,98
Christopher,Martin,41,39
Susan,Jones,44,73
Charles,Garcia,66,41
Jessica,White,28,71
Thomas,Hernandez,66,81
Margaret,Davis,40,87
Christopher,Miller,50,75
John,Brown,58,22
Daniel,Garcia,63,82
Michael,Thomas,64,49
Thomas,Martin,46,28
Susan,Anderson,48,16
William,Wilson,18,68
Joseph,Thompson,51,62
Karen,Lopez,35,36
Christopher,Lopez,35,22
Richard,Thomas,23,11
Christopher,Anderson,69,85
Linda,Gonzalez,57,80
Jessica,Hernandez,18,42
Linda,Taylor,64,55
Jessica,Lee,59,73
Michael,Anderson,47,35
Daniel,Wilson,21,57
Susan,Martinez,49,34
David,Lopez,27,73
Lisa,Thomas,60,77
Lisa,Anderson,22,70
David,Martinez,26,4
Lisa,Brown,22,46
Richard,Thompson,28,92
Karen,Rodriguez,52,11
Mary,Lee,44,98
Christopher,Martin,21,61
Joseph,Rodriguez,27,35
Nancy,Lee,56,69
Karen,White,50,57
Joseph,Martin,55,11
Charles,Hernandez,25,12
Daniel,Hernandez,66,43
Margaret,Miller,41,19
Susan,Lee,56,77
Richard,Martinez,50,68
Lisa,Brown,58,78
David,Jones,60,59
Robert,Jones,36,2
James,Hernandez,19,8
Margaret,Rodriguez,28,22
John,Thomas,52,77
Lisa,Rodriguez,34,21
Charles,Perez,59,85
Daniel,Brown,20,92
Michael,Johnson,39,97
Susan,Wilson,52,29
Joseph,Williams,38,86
Robert,Moore,42,90
Joseph,Lee,56,75
Linda,Garcia,19,75
Elizabeth,Hernandez,18,98
Sarah,Lee,24,83
Linda,Moore,37,37
James,Lopez,60,78
Susan,Jones,23,29
Robert,Rodriguez,53,83
John,Martin,68,37
James,Moore,38,21
Patricia,Jackson,68,88
Linda,Williams,63,90
John,Rodriguez,52,12
Elizabeth,Brown,53,48
Mary,Taylor,25,83
David,Taylor,67,47
Elizabeth,Thompson,21,94
Christopher,Thompson,60,15
Jessica,Johnson,33,67
Michael,Rodriguez,20,13
Mary,Rodriguez,24,59
William,Jones,19,73
Sarah,Anderson,18,13
Richard,Anderson,18,80
William,Williams,55,78
Nancy,Jackson,68,72
Patricia,Williams,24,19
Lisa,Garcia,41,57
Elizabeth,Brown,22,32
Lisa,White,38,99
Susan,Gonzalez,45,87
Thomas,Gonzalez,35,21
Jessica,Hernandez,41,82
Jessica,Jones,49,14
Mary,Smith,62,80
Christopher,Rodriguez,50,24
Nancy,Taylor,27,49
David,Perez,26,32
Sarah,Smith,66,75
Charles,Williams,50,11
Daniel,Anderson,50,60
Jennifer,Lee,24,68
Margaret,Thompson,21,61
Charles,Martinez,45,90
Robert,Davis,40,5
Patricia,Lopez,49,36
Joseph,Perez,61,97
Patricia,Anderson,33,64
Nancy,Rodriguez,63,78
Elizabeth,White,27,32
Margaret,Martinez,31,71
Lisa,Martin,56,74
John,Rodriguez,53,66
Robert,Anderson,51,10
Jennifer,Thompson,41,99
Christopher,Lee,35,21
Lisa,Lee,33,40
Linda,Smith,58,42
Michael,Johnson,54,72
Christopher,Jackson,58,46
Elizabeth,Wilson,42,82
Jennifer,Davis,25,73
Jessica,Garcia,41,41
Patricia,Lopez,37,94
Richard,Anderson,65,4
Nancy,Wilson,47,99
Thomas,Lee,37,14
Daniel,Smith,35,14
Michael,Hernandez,21,53
Patricia,Williams,65,84
Jessica,Jackson,53,29
John,Moore,23,23
Margaret,Martin,20,85
Robert,Johnson,35,31
Sarah,Miller,64,96
Daniel,Davis,57,71
Nancy,Jackson,35,77
Patricia,Perez,40,61
Margaret,Anderson,52,23
Margaret,Martinez,23,8
Mary,Perez,43,76
Karen,Smith,38,16
Charles,Garcia,41,26
Charles,Gonzalez,32,29
Thomas,Wilson,44,93
Jessica,Williams,49,6
Charles,Hernandez,29,37
Lisa,Williams,22,33
Margaret,Jackson,24,95
Richard,Martinez,39,46
Susan,Anderson,44,61
Jennifer,Hernandez,32,41
Christopher,Anderson,56,18
Patricia,White,62,95
Charles,Gonzalez,52,16
Sarah,Jones,43,51
Richard,Brown,40,37
Patricia,Gonzalez,30,14
Daniel,Rodriguez,43,68
Thomas,Taylor,20,30
Daniel,Johnson,46,60
James,White,19,53
Karen,Jones,45,97
Nancy,Thomas,40,36
Thomas,Miller,53,30
Joseph,Smith,66,64
David,Lopez,23,14
Lisa,Lee,28,23
Richard,Hernandez,55,48
James,Lopez,51,28
Thomas,Jackson,34,7
Jennifer,Lopez,20,42
Patricia,Lopez,61,10
Nancy,Wilson,63,68
Sarah,Johnson,51,44
Joseph,Johnson,39,13
Joseph,Brown,46,85
Jennifer,Martin,46,33
Joseph,Thompson,22,92
Jessica,Thomas,27,87
David,Martinez,27,32
Michael,Gonzalez,26,48
William,Johnson,38,5
Sarah,Williams,30,61
Robert,Jackson,27,90
Nancy,Garcia,55,90
Elizabeth,Jackson,28,3
Karen,Lee,21,24
John,Martin,63,98
Richard,Jackson,48,34
David,Davis,66,84
Thomas,Wilson,69,94
Lisa,Martinez,51,42
Richard,Williams,59,20
Jennifer,Garcia,52,41
Thomas,Anderson,56,82
Richard,Thompson,56,20
Charles,Thompson,50,6
Christopher,Moore,25,57
Charles,Wilson,49,42
Elizabeth,Jackson,50,25
John,Martinez,25,41
Jessica,Anderson,63,41
Charles,Brown,31,3
Robert,Thompson,51,43
Robert,Johnson,25,46
Nancy,Williams,68,57
Thomas,Miller,59,83
Christopher,Thompson,24,74
Elizabeth,Thomas,30,51
Robert,Martinez,38,5
Patricia,Jackson,64,86
Jennifer,Taylor,49,73
Patricia,Jackson,28,97
Michael,Jones,31,15
Michael,Thompson,28,88
Karen,Martin,19,94
John,Gonzalez,51,39
James,Gonzalez,61,70
Margaret,Hernandez,64,79
Patricia,Hernandez,34,38
Jennifer,Thomas,31,39
William,Anderson,42,52
Lisa,Taylor,65,86
Jessica,Perez,44,3
Susan,Moore,25,29
Nancy,Jackson,34,93
Margaret,Brown,22,31
Patricia,Perez,29,66
Christopher,Perez,55,99
Margaret,Thompson,35,45
Susan,Jones,43,73
Elizabeth,Miller,48,22
Lisa,Johnson,54,83
Michael,Smith,23,10
John,Lopez,58,21
Daniel,Martinez,32,17
Jessica,Davis,59,67
Margaret,Smith,66,7
Elizabeth,Lopez,43,36
Sarah,Johnson,68,67
Sarah,Martinez,29,77
Lisa,Perez,58,30
Elizabeth,Taylor,64,87
Richard,Williams,31,71
Jennifer,Miller,18,94
Susan,Lopez,34,29
William,Davis,50,72
Richard,Martin,46,74
Patricia,Lopez,62,33
Margaret,Williams,48,59
David,Taylor,25,20
Nancy,Rodriguez,47,93
Karen,Martinez,30,29
David,Perez,33,53
Christopher,Garcia,19,85
Patricia,Smith,62,1
Karen,Perez,35,34
James,Lopez,52,44
Michael,Jones,62,96
Jennifer,Gonzalez,36,14
Joseph,Anderson,30,37
Karen,Perez,68,35
Margaret,Hernandez,21,59
David,Davis,36,24
Nancy,Jones,67,65
Margaret,Johnson,42,6
Joseph,Lopez,55,68
Sarah,Johnson,68,38
Michael,Thomas,48,1
Christopher,Lee,53,41
Elizabeth,Williams,21,31
Susan,Martinez,56,36
Margaret,Jackson,24,73
Jessica,Davis,33,54
Robert,Miller,65,87
Christopher,Smith,22,31
Karen,Lopez,64,29
Robert,Jones,40,85
John,Thomas,53,3
Daniel,Brown,49,58
Robert,Taylor,41,90
Margaret,White,42,61
Thomas,Lee,62,6
Charles,Johnson,45,20
Charles,Lopez,36,61
Christopher,Smith,24,46
Susan,Lopez,61,13
William,Lopez,58,23
James,Lopez,34,79
Karen,Jackson,19,31
Christopher,Taylor,33,4
Patricia,Martin,56,75
Elizabeth,White,35,66
Michael,White,56,16
Lisa,Hernandez,18,31
Daniel,Gonzalez,20,48
James,Davis,38,43
Thomas,Martinez,47,4
Margaret,Davis,28,62
Mary,Martin,39,48
David,Davis,64,28
William,Rodriguez,42,16
Michael,Miller,20,89
Lisa,Wilson,47,77
Thomas,Johnson,41,69
Thomas,Hernandez,62,30
Mary,Davis,53,65
Jennifer,Gonzalez,40,69
Jessica,Lee,25,14
Jennifer,Anderson,21,75
Mary,Williams,67,34
James,Thompson,56,56
Elizabeth,Wilson,60,29
Christopher,Anderson,48,82
Robert,Johnson,46,79
Mary,Jackson,53,25
Lisa,Lopez,30,94
Sarah,Martin,58,66
Mary,Brown,26,40
Elizabeth,Williams,38,91
Mary,Jones,68,15
Sarah,Williams,20,32
Sarah,Anderson,42,20
Charles,Jackson,42,53
Michael,Johnson,29,78
Lisa,Lopez,46,91
Susan,Jones,28,67
Margaret,Perez,69,49
Joseph,Taylor,28,67
Linda,Wilson,66,77
Jennifer,Perez,43,89
Elizabeth,Martinez,31,82
John,Williams,33,1
Charles,Brown,27,39
Thomas,Garcia,48,61
Michael,White,48,55
Christopher,Perez,53,69
Nancy,Thomas,27,2
Patricia,Miller,43,94
Jessica,Anderson,37,17
Nancy,Lee,61,29
Lisa,Martin,26,4
Joseph,Hernandez,32,73
Margaret,Perez,26,64
Linda,Lee,24,85
Christopher,Smith,43,43
Joseph,Jones,41,76
Lisa,Gonzalez,29,12
Nancy,Lee,37,50
Jessica,Wilson,31,68
William,Rodriguez,39,61
Linda,Taylor,33,92
Thomas,Anderson,46,73
Mary,Lee,49,51
Margaret,Miller,36,96
John,Perez,52,77
Linda,Perez,60,98
Susan,Lopez,49,83
James,Thompson,37,78
Elizabeth,Garcia,68,5
Nancy,Lee,57,91
John,Thomas,37,28
Jennifer,Jones,25,90
Michael,Rodriguez,52,10
Nancy,Wilson,59,88
Daniel,Davis,30,81
Karen,Wilson,58,52
David,Lopez,23,80
Charles,Martinez,64,17
Robert,Martin,33,65
Charles,Martin,22,21
David,Lee,62,54
Margaret,Gonzalez,68,49
Susan,Jackson,51,22
Elizabeth,Anderson,23,69
Linda,Davis,50,64
Margaret,Thompson,32,36
William,Lee,32,21
Patricia,Martinez,31,56
Robert,Williams,56,73
Christopher,Lee,22,91
Linda,Williams,69,48
Daniel,Jones,43,76
William,Thomas,65,18
Joseph,Taylor,34,99
Joseph,Garcia,60,15
Sarah,Martin,64,44
Jessica,Martin,69,94
Linda,Thomas,33,45
Karen,White,52,97
Elizabeth,Johnson,55,36
Nancy,Martin,40,40
Jennifer,Anderson,30,51
Susan,Moore,50,30
Mary,Smith,46,26
Michael,Jackson,63,85
Sarah,Lopez,51,31
John,Davis,51,56
Richard,Garcia,44,61
John,Lopez,32,17
Karen,Miller,67,81
David,Moore,26,98
Linda,Perez,43,24
Jennifer,Wilson,20,97
James,Davis,53,4
James,White,64,9
Daniel,Martin,22,2
Linda,Perez,37,35
Robert,Wilson,37,38
Sarah,Jones,22,45
David,Rodriguez,27,15
Robert,Davis,33,42
Patricia,Johnson,42,3
Jennifer,Thomas,61,31
Jessica,Gonzalez,42,52
Lisa,Miller,47,41
Charles,Thomas,31,57
William,Miller,39,42
Susan,Wilson,60,53
David,Wilson,45,56
Jessica,Lopez,47,87
Daniel,Smith,36,76
Sarah,Smith,55,72
James,Lopez,59,53
Richard,Martin,37,85
Daniel,Lee,52,85
Christopher,Anderson,39,32
Christopher,Brown,32,81
Richard,Miller,28,54
Mary,Thomas,51,37
Patricia,Williams,41,88
Jennifer,Miller,23,8
Daniel,White,34,82
Robert,Perez,45,11
John,Garcia,67,54
James,Thomas,48,60
Patricia,White,53,10
Nancy,Davis,26,90
Mary,Thompson,27,70
Robert,Perez,38,81
John,Garcia,51,87
William,Martinez,48,42
Nancy,Thomas,46,37
Jennifer,Hernandez,60,92
Karen,Gonzalez,60,80
Jennifer,Garcia,28,76
Charles,White,50,58
Susan,Smith,63,85
David,Lee,18,59
Mary,Jackson,38,24
Joseph,Lopez,40,28
Susan,White,26,37
Susan,Garcia,18,21
William,Moore,38,33
Christopher,Gonzalez,39,2
Margaret,Miller,21,83
Mary,Thompson,18,28
Lisa,Gonzalez,68,15
John,Lee,27,1
Susan,Davis,32,28
Sarah,Lee,69,50
Christopher,Taylor,53,35
Margaret,Rodriguez,46,96
James,Martin,69,28
Christopher,Gonzalez,63,9
John,Johnson,22,24
Nancy,Brown,46,63
Mary,Johnson,64,4
William,Brown,64,56
Charles,Moore,44,41
Joseph,Jones,42,67
Karen,Jackson,33,48
David,Martinez,33,86
Daniel,Moore,53,58
Sarah,Lee,42,39
Lisa,Martinez,58,25
Thomas,Jones,18,60
Robert,Taylor,22,86
Susan,Perez,58,47
David,Gonzalez,37,98
Joseph,Thompson,22,61
John,Taylor,53,84
James,Rodriguez,46,27
Nancy,White,65,96
Sarah,Lopez,51,42
Mary,Wilson,65,52
Mary,Wilson,35,93
John,Davis,19,48
Linda,Thompson,33,32
Margaret,Jones,46,24
Joseph,Jackson,50,3
Michael,Wilson,33,27
Jennifer,Rodriguez,52,73
William,Miller,64,40
Nancy,Davis,60,23
James,Wilson,59,7
Linda,Perez,34,81
Daniel,Wilson,21,37
Daniel,Hernandez,66,7
John,Wilson,21,94
Patricia,Lee,68,77
Joseph,Davis,42,82
Jennifer,Williams,50,95
Joseph,Thompson,31,22
Christopher,Moore,41,78
John,Williams,28,82
Christopher,Gonzalez,42,99
Christopher,Lopez,45,17
Jessica,Anderson,24,19
Nancy,Moore,66,95
Jessica,Jones,53,39
Patricia,Miller,27,36
Susan,Hernandez,66,15
Thomas,Hernandez,53,63
Michael,Anderson,48,29
William,Martinez,36,60
John,Anderson,35,56
Richard,Gonzalez,66,40
Joseph,Wilson,23,16
Karen,Taylor,45,33
Charles,Gonzalez,24,89
James,Martinez,55,16
Jennifer,Smith,29,30
Daniel,Smith,58,98
Mary,Anderson,67,66
Margaret,Thomas,51,44
Jessica,Lopez,42,38
Jennifer,White,34,51
Jessica,Garcia,50,60
Patricia,Garcia,40,18
Christopher,Lopez,26,5
Linda,Anderson,23,40
John,Brown,19,6
Charles,White,55,76
Jessica,Brown,26,12
Nancy,Johnson,20,12
Thomas,White,33,73
Linda,Lopez,42,22
Margaret,Miller,41,49
Jessica,Martin,64,50
Jennifer,Rodriguez,46,80
Daniel,Rodriguez,61,4
Lisa,Davis,57,50
Sarah,Wilson,43,3
Charles,Smith,55,16
Jessica,Thompson,52,14
Charles,Lee,40,64
John,Thompson,21,41
Elizabeth,Lopez,59,68
Charles,Johnson,31,59
William,Gonzalez,64,2
Nancy,Brown,56,10
Richard,Martin,24,75
Michael,Moore,25,90
Jessica,Jackson,59,26
William,Thomas,68,4
Daniel,Wilson,36,90
Charles,Davis,19,28
Joseph,Lopez,64,2
Nancy,Rodriguez,18,66
Jessica,Garcia,59,16
Margaret,Moore,55,57
Jennifer,Johnson,30,23
Christopher,Thompson,59,23
Patricia,Davis,61,77
Linda,White,41,21
Thomas,Wilson,49,25
William,Garcia,47,58
James,Martinez,23,37
Margaret,Davis,55,49
Nancy,Taylor,50,77
Jessica,Lopez,61,15
David,Taylor,40,28
Christopher,Gonzalez,27,67
John,Jackson,63,87
William,Lopez,32,4
Jessica,Thomas,40,47
William,Jones,53,50
Patricia,Thomas,18,60
Patricia,Garcia,25,62
Linda,Hernandez,20,67
Mary,Taylor,31,72
William,Thompson,34,43
Jessica,Wilson,51,89
Lisa,Garcia,64,58
William,Thompson,23,52
Margaret,Hernandez,22,76
Daniel,Lopez,63,69
Sarah,Gonzalez,68,97
Thomas,Brown,58,46
Sarah,Miller,57,25
Susan,Johnson,46,25
John,Garcia,52,35
David,Garcia,35,61
Jessica,Moore,57,15
Karen,Martin,65,90
Christopher,Davis,47,74
Christopher,Davis,32,88
Robert,Davis,32,35
Sarah,Davis,33,29
Nancy,Smith,50,38
Robert,Johnson,27,69
John,Lopez,36,24
Susan,Anderson,54,19
James,Brown,67,46
Christopher,Williams,20,49
William,Wilson,53,44
William,Perez,21,73
Patricia,Thompson,28,26
John,Davis,58,25
Thomas,Gonzalez,50,35
Mary,Thompson,45,36
Margaret,Jackson,49,14
James,Perez,33,56
Linda,Jones,26,6
Richard,Gonzalez,28,32
Daniel,Martin,23,26
Joseph,Smith,66,15
Linda,Thomas,44,49
Susan,Thompson,29,95
Lisa,White,39,56
Susan,Johnson,57,37
Jessica,Miller,65,53
Joseph,Garcia,54,58
Joseph,Jones,38,83
William,Brown,50,78
Charles,Johnson,34,36
Nancy,Martinez,46,11
Lisa,Perez,57,27
Linda,Jones,27,2
Christopher,Moore,35,22
Charles,Martinez,64,66
Jennifer,Thompson,69,84
Nancy,Perez,30,17
Charles,Anderson,44,4
Patricia,Rodriguez,27,14
Daniel,Hernandez,49,7
Michael,Lee,58,79
Patricia,Taylor,62,94
Lisa,Lee,20,16
Susan,Rodriguez,39,66
Richard,Thompson,44,19
John,Thomas,20,1
Lisa,Garcia,50,31
Susan,Perez,19,4
Mary,Hernandez,28,91
Margaret,Thompson,63,58
Mary,Taylor,27,56
Daniel,Brown,56,53
William,Anderson,50,89
James,Smith,24,86
Linda,Perez,32,43
Daniel,Martin,43,74
Jennifer,Smith,28,97
Jennifer,Rodriguez,55,49
Lisa,Lopez,44,60
Karen,Brown,56,94
Thomas,Perez,24,94
Susan,Gonzalez,18,16
Jennifer,Miller,27,73
Linda,Davis,38,81
Charles,Gonzalez,32,99
Elizabeth,Hernandez,47,60
James,Rodriguez,47,47
Richard,White,25,15
Thomas,Thomas,41,63
John,Martinez,36,28
Linda,Hernandez,20,20
Jessica,Lopez,32,97
John,Wilson,53,63
Sarah,Jackson,23,33
Richard,Lopez,59,36
Nancy,Moore,67,13
Margaret,Lee,65,62
Thomas,Taylor,35,68
Richard,Williams,55,23
Jennifer,Smith,36,72
Thomas,Jackson,66,13
Jessica,Brown,67,88
Thomas,Thompson,47,40
Linda,Thomas,30,30
David,Lopez,56,94
Nancy,Lee,69,25
James,Lee,29,97
Michael,Gonzalez,51,73
Christopher,Taylor,29,26
Christopher,Davis,61,24
Thomas,Gonzalez,41,97
Elizabeth,Martin,21,39
David,Jones,53,89
Lisa,Moore,67,79
William,Anderson,65,61
William,Lopez,31,49
Margaret,Taylor,34,41
Robert,Anderson,66,70
Thomas,Johnson,20,20
William,Garcia,55,44
Thomas,Taylor,40,16
Margaret,Thomas,30,21
Christopher,Taylor,26,15
Charles,Martin,38,39
Michael,Rodriguez,58,42
Daniel,Jones,25,61
William,Thompson,34,4
Michael,Smith,33,24
Richard,Garcia,33,3
David,White,45,1
Jessica,Wilson,68,94
Charles,Taylor,33,13
David,Jackson,63,54
Richard,Smith,69,82
Jessica,Smith,63,40
Richard,Gonzalez,31,11
James,Wilson,63,42
Linda,Garcia,61,93
Susan,Garcia,55,4
Charles,Smith,37,25
Susan,Wilson,62,36
Linda,Williams,65,64
Linda,Thompson,58,44
Christopher,Martinez,51,40
Richard,Jackson,46,92
Susan,Jackson,20,45
Sarah,Jackson,27,8
James,Thompson,37,85
Richard,Brown,19,35
Michael,Martin,44,44
Robert,Jackson,49,18
Linda,Martinez,27,47
Jessica,Johnson,57,25
Daniel,Brown,34,41
Richard,White,50,5
Joseph,Garcia,23,64
Daniel,Miller,56,62
Thomas,Thomas,64,72
Joseph,Miller,35,87
Nancy,Moore,26,3
Karen,Martin,25,37
Karen,Perez,42,95
Mary,Jackson,48,93
Patricia,Rodriguez,59,41
James,Martin,21,20
Patricia,Martinez,37,67
Karen,Gonzalez,45,87
Robert,Moore,57,40
Charles,Thomas,18,85
Joseph,Perez,57,77
Linda,Taylor,61,8
Nancy,Perez,40,5
Thomas,Gonzalez,64,25
James,Lopez,30,39
Susan,Martinez,33,37
Charles,Smith,43,5
Joseph,Davis,48,8
William,Lee,67,4
Michael,Perez,18,41
Mary,Moore,34,60
William,Johnson,33,54
Elizabeth,Thomas,54,22
Mary,Lopez,69,78
Charles,Rodriguez,27,19
David,Williams,55,77
Richard,Perez,61,99
Elizabeth,Lee,48,68
Jessica,Brown,27,33
Karen,Johnson,66,22
Charles,Davis,51,65
Lisa,Martinez,68,11
William,Thomas,69,16
Michael,Thompson,23,68
John,Hernandez,45,93
Nancy,Moore,45,44
Jennifer,Perez,30,88
Christopher,Wilson,58,9
Mary,Davis,29,72
Jennifer,Thompson,67,78
John,Anderson,57,79
Sarah,Taylor,67,62
Linda,Lee,19,86
Mary,Moore,25,15
Thomas,Garcia,59,6
William,Thompson,26,1
Susan,Wilson,67,20
John,Thompson,25,36
David,Williams,68,2
James,Miller,20,70
Daniel,Anderson,26,2
Richard,Lee,30,3
Joseph,White,26,7
Robert,Thomas,48,84
Christopher,Thomas,42,64
Thomas,Davis,69,41
Daniel,Miller,61,54
Margaret,Garcia,62,41
Jennifer,Johnson,25,5
Christopher,Perez,64,89
Lisa,Gonzalez,48,82
David,Lopez,62,63
Karen,Anderson,62,1
Patricia,Rodriguez,48,25
John,Johnson,34,81
Richard,Taylor,64,46
Daniel,Jones,36,15
William,Hernandez,20,69
Christopher,Perez,63,17
Jennifer,Jackson,47,21
Susan,White,27,53
Mary,Miller,66,55
John,Johnson,46,87
John,Thomas,57,10
Susan,Lopez,35,81
Joseph,Thompson,29,57
William,Anderson,66,65
Daniel,Smith,40,37
Linda,Gonzalez,28,7
David,Thompson,26,76
Sarah,Garcia,41,40
Lisa,Gonzalez,42,50
Patricia,Moore,42,1
James,Williams,64,20
Margaret,Smith,26,31
Michael,Anderson,29,68
Mary,Gonzalez,28,90
Margaret,Jones,66,12
Robert,Gonzalez,55,22
Michael,Perez,45,1
Patricia,Jones,25,1
Robert,Jackson,27,3
Margaret,Lee,42,76
James,White,64,21
James,Moore,53,13
Joseph,Lee,67,61
Nancy,Perez,60,13
Charles,Martinez,26,82
Elizabeth,White,58,33
Karen,Davis,25,6
John,Anderson,20,25
David,Lee,35,23
Joseph,Martin,63,88
David,Thompson,52,26
Thomas,Perez,34,4
Thomas,Brown,53,35
Jennifer,Johnson,45,75
Robert,White,67,25
Linda,Garcia,32,20
Mary,Williams,36,1
Sarah,Miller,39,94
Nancy,Martinez,23,68
Margaret,Thompson,64,23
Susan,Garcia,24,99
Jennifer,Thomas,61,22
James,Johnson,65,95
Patricia,White,26,62
Thomas,Taylor,37,1
Richard,Gonzalez,54,59
Karen,Smith,28,68
Robert,Garcia,19,19
Margaret,Jones,39,30
Margaret,Gonzalez,65,1
John,Thompson,53,48
David,Moore,22,19
Richard,Lopez,24,52
Patricia,Miller,23,85
Jessica,Anderson,39,22
Lisa,Williams,27,50
David,Thomas,63,66
Elizabeth,Smith,57,6
Charles,Thomas,63,64
Karen,White,63,21
Jennifer,Lopez,37,97
Joseph,Jackson,45,19
Christopher,Davis,40,91
Elizabeth,Thompson,52,37
Robert,Lopez,18,63
Robert,Anderson,46,29
Elizabeth,Johnson,26,60
Robert,Taylor,26,92
John,Miller,39,34
Daniel,Gonzalez,19,1
Jennifer,Smith,33,48
Patricia,Garcia,57,89
Karen,Gonzalez,23,21
William,Hernandez,30,34
Thomas,Martinez,50,26
Richard,Thomas,36,36
Joseph,White,32,99
Nancy,Thompson,50,23
Thomas,Martin,27,81
Richard,Taylor,18,47
Sarah,Taylor,29,76
Lisa,Brown,60,44
Patricia,Jones,46,20
Robert,Thompson,34,27
Robert,Wilson,21,61
William,Martin,46,37
Thomas,Martinez,24,84
Richard,Wilson,61,52
Mary,Smith,30,75
Richard,Hernandez,22,92
Lisa,Thompson,23,62
Christopher,Moore,51,66
Daniel,Thomas,24,24
Charles,Moore,63,80
John,Davis,45,12
Elizabeth,Martinez,63,16
Mary,Martinez,27,36
Richard,Jones,21,2
Charles,Martinez,20,89
Thomas,Moore,42,62
Christopher,Lee,40,64
Jessica,White,44,29
Susan,Garcia,31,92
Christopher,Williams,55,74
Susan,Davis,49,87
David,Rodriguez,40,96
Michael,Jones,64,31
Patricia,Johnson,57,83
Charles,Johnson,54,15
James,Miller,20,55
Margaret,Taylor,52,33
John,Martinez,30,81
Richard,Lopez,51,52
Joseph,Johnson,41,20
Mary,Martinez,18,73
David,Martin,29,38
Patricia,Smith,25,3
Charles,Brown,36,54
Thomas,Gonzalez,26,66
John,Lopez,45,18
Karen,Hernandez,31,87
Linda,Martinez,44,83
Lisa,Anderson,35,7
